Time_step, Time, Epot, Ekin, Etot
216, 2.160000, -0.119429, 0.346534, 0.227105
217, 2.170000, -0.119302, 0.346415, 0.227112
218, 2.180000, -0.119175, 0.346294, 0.227120
219, 2.190000, -0.119047, 0.346174, 0.227127
220, 2.200000, -0.118919, 0.346053, 0.227134
221, 2.210000, -0.118790, 0.345932, 0.227141
222, 2.220000, -0.118661, 0.345810, 0.227149
223, 2.230000, -0.118532, 0.345688, 0.227156
224, 2.240000, -0.118402, 0.345565, 0.227163
225, 2.250000, -0.118271, 0.345442, 0.227171
226, 2.260000, -0.118140, 0.345318, 0.227178
227, 2.270000, -0.118009, 0.345194, 0.227186
228, 2.280000, -0.117877, 0.345070, 0.227193
229, 2.290000, -0.117745, 0.344945, 0.227200
230, 2.300000, -0.117612, 0.344820, 0.227208
231, 2.310000, -0.117479, 0.344695, 0.227215
232, 2.320000, -0.117346, 0.344569, 0.227223
233, 2.330000, -0.117212, 0.344442, 0.227230
234, 2.340000, -0.117078, 0.344315, 0.227238
235, 2.350000, -0.116943, 0.344188, 0.227245
236, 2.360000, -0.116808, 0.344061, 0.227253
237, 2.370000, -0.116672, 0.343933, 0.227261
238, 2.380000, -0.116536, 0.343804, 0.227268
239, 2.390000, -0.116399, 0.343675, 0.227276
240, 2.400000, -0.116263, 0.343546, 0.227284
241, 2.410000, -0.116125, 0.343417, 0.227291
242, 2.420000, -0.115987, 0.343287, 0.227299
243, 2.430000, -0.115849, 0.343156, 0.227307
244, 2.440000, -0.115711, 0.343025, 0.227315
245, 2.450000, -0.115572, 0.342894, 0.227322
246, 2.460000, -0.115433, 0.342763, 0.227330
247, 2.470000, -0.115293, 0.342631, 0.227338
248, 2.480000, -0.115153, 0.342498, 0.227346
249, 2.490000, -0.115012, 0.342366, 0.227354
250, 2.500000, -0.114871, 0.342233, 0.227361
251, 2.510000, -0.114730, 0.342099, 0.227369
252, 2.520000, -0.114588, 0.341965, 0.227377
253, 2.530000, -0.114446, 0.341831, 0.227385
254, 2.540000, -0.114303, 0.341696, 0.227393
255, 2.550000, -0.114160, 0.341561, 0.227401
256, 2.560000, -0.114017, 0.341426, 0.227409
257, 2.570000, -0.113873, 0.341290, 0.227417
258, 2.580000, -0.113729, 0.341154, 0.227425
259, 2.590000, -0.113585, 0.341018, 0.227433
260, 2.600000, -0.113440, 0.340881, 0.227441
261, 2.610000, -0.113295, 0.340744, 0.227449
262, 2.620000, -0.113149, 0.340606, 0.227457
263, 2.630000, -0.113003, 0.340468, 0.227465
264, 2.640000, -0.112857, 0.340330, 0.227473
265, 2.650000, -0.112710, 0.340191, 0.227482
266, 2.660000, -0.112563, 0.340052, 0.227490
267, 2.670000, -0.112415, 0.339913, 0.227498
268, 2.680000, -0.112268, 0.339774, 0.227506
269, 2.690000, -0.112119, 0.339634, 0.227514
270, 2.700000, -0.111971, 0.339493, 0.227522
271, 2.710000, -0.111822, 0.339352, 0.227531
272, 2.720000, -0.111673, 0.339211, 0.227539
273, 2.730000, -0.111523, 0.339070, 0.227547
274, 2.740000, -0.111373, 0.338928, 0.227555
275, 2.750000, -0.111223, 0.338786, 0.227564
276, 2.760000, -0.111072, 0.338644, 0.227572
277, 2.770000, -0.110921, 0.338501, 0.227580
278, 2.780000, -0.110770, 0.338358, 0.227589
